Name,GALEX_FUV,GALEX_FUV_err,Swift_UVW2,Swift_UVW2_err,Swift_UVM2,Swift_UVM2_err,GALEX_NUV,GALEX_NUV_err,Swift_UVM1,Swift_UVM2_err,Swift_U,Swift_U_err,SDSS_u,SDSS_u_err,SDSS_g,SDSS_g_err,Swift_V,Swift_V_err,SDSS_r,SDSS_r_err,SDSS_i,SDSS_i_err,SDSS_z,SDSS_z_err,2MASS_J,2MASS_J_err,2MASS_H,2MASS_H_err,2MASS_Ks,2MASS_Ks_err,WISE_W1,WISE_W1_err,IRAC_I1,IRAC_I1_err,IRAC_I2,IRAC_I2_err,WISE_W2,WISE_W2_err,IRAC_I3,IRAC_I3_err,IRAC_I4,IRAC_I4_err,WISE_W3,WISE_W3_err,IRS_PB,IRS_PB_err,WISE_W4,WISE_W4_err,WISE_W4',WISE_W4'_err,IRS_PR,IRS_PR_err,MIPS_M1,MIPSM1_err
Arp 256 N      ,16.26,0.10,0.00,0.00,0.00,0.00,15.91,0.10,0.00,0.00,0.00,0.00,15.31,0.05,14.43,0.05,0.00,0.00,14.03,0.05,13.77,0.05,13.62,0.05,13.33,0.05,13.28,0.05,13.34,0.05,13.83,0.10,13.85,0.10,14.22,0.10,14.34,0.10,13.12,0.10,11.98,0.10,12.06,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.23,0.10
Arp 256 S      ,16.37,0.10,0.00,0.00,0.00,0.00,16.00,0.10,0.00,0.00,0.00,0.00,15.26,0.05,14.48,0.05,0.00,0.00,14.05,0.05,13.80,0.05,13.58,0.05,13.25,0.05,13.03,0.05,13.15,0.05,13.28,0.10,13.16,0.10,13.40,0.10,13.49,0.10,11.92,0.10,0.00,0.00,10.53,0.10,0.00,0.00, 8.95,0.10, 9.12,0.10,0.00,0.00, 8.90,0.10
NGC 0337       ,15.32,0.10,14.77,0.10,14.95,0.10,14.63,0.10,14.31,0.10,0.00,0.00,13.37,0.05,12.36,0.05,0.00,0.00,11.88,0.05,11.65,0.05,11.51,0.05,11.27,0.05,11.12,0.05,11.34,0.05,11.89,0.10,11.85,0.10,12.24,0.10,12.36,0.10,11.24,0.10,10.31,0.10,10.46,0.10,10.31,0.10, 9.63,0.10, 9.79,0.10,0.00,0.00, 9.55,0.10
CGCG 436-030   ,17.48,0.10,0.00,0.00,0.00,0.00,16.98,0.10,0.00,0.00,0.00,0.00,15.85,0.05,14.79,0.05,0.00,0.00,14.34,0.05,14.03,0.05,13.87,0.05,13.46,0.05,13.15,0.05,13.17,0.07,13.39,0.10,13.21,0.10,12.94,0.10,12.96,0.10,11.74,0.10,10.62,0.10,10.54,0.10,0.00,0.00, 8.79,0.10, 8.99,0.10,0.00,0.00, 8.70,0.10
NGC 0474       ,19.16,0.12,0.00,0.00,0.00,0.00,17.14,0.10,0.00,0.00,0.00,0.00,14.05,0.05,12.41,0.05,0.00,0.00,11.66,0.05,11.25,0.05,10.99,0.05,10.67,0.05,10.59,0.05,10.74,0.05,11.44,0.10,11.52,0.10,12.02,0.10,12.12,0.10,12.30,0.10,12.91,0.10,13.32,0.10,0.00,0.00,14.08,0.10,14.15,0.10,0.00,0.00,0.00,0.00,
NGC 0520       ,16.37,0.10,15.58,0.10,0.00,0.00,15.53,0.10,0.00,0.00,13.60,0.10,13.52,0.05,12.12,0.05,0.00,0.00,11.46,0.05,11.07,0.05,10.83,0.05,10.43,0.05,10.16,0.05,10.30,0.05,10.90,0.10,10.87,0.10,11.15,0.10,11.26,0.10,10.06,0.10, 9.03,0.10, 9.23,0.10,0.00,0.00, 8.07,0.10, 8.29,0.10,0.00,0.00, 7.95,0.10
     NGC 0584  ,18.47,0.10,0.00,0.00,0.00,0.00,16.61,0.10,0.00,0.00,0.00,0.00,13.08,0.05,11.35,0.05,0.00,0.00,10.56,0.05,10.14,0.05, 9.86,0.05, 9.44,0.05, 9.21,0.05, 9.46,0.05,10.24,0.10,10.30,0.10,10.83,0.10,10.93,0.10,11.21,0.10,11.75,0.10,12.03,0.10,0.00,0.00,12.55,0.18,12.63,0.10,0.00,0.00,12.63,0.10
     NGC 0628  ,14.63,0.10,14.16,0.10,14.22,0.10,14.11,0.10,13.64,0.10,12.64,0.10,12.57,0.05,11.30,0.05,10.89,0.10,10.66,0.05,10.29,0.05,10.09,0.05, 9.78,0.05, 9.63,0.05, 9.86,0.05,10.47,0.10,10.56,0.10,11.00,0.10,11.02,0.10,10.40,0.10, 9.53,0.10, 9.54,0.10,0.00,0.00, 9.33,0.10, 9.46,0.10,0.00,0.00, 9.41,0.10
NGC 0660       ,16.52,0.10,0.00,0.00,0.00,0.00,16.09,0.10,0.00,0.00,0.00,0.00,13.83,0.05,12.25,0.05,0.00,0.00,11.24,0.05,10.64,0.05,10.20,0.05, 9.53,0.05, 9.17,0.05, 9.24,0.05, 9.68,0.10, 9.73,0.10,10.00,0.10, 9.76,0.10, 8.86,0.10,0.00,0.00, 7.96,0.10,0.00,0.00, 6.93,0.10, 7.12,0.10,0.00,0.00, 6.84,0.10
III Zw 035     ,19.65,0.10,0.00,0.00,0.00,0.00,18.72,0.10,0.00,0.00,0.00,0.00,16.90,0.05,15.48,0.05,0.00,0.00,14.77,0.05,14.39,0.05,14.13,0.05,13.69,0.05,13.45,0.05,13.45,0.05,14.07,0.10,13.99,0.10,14.06,0.10,14.15,0.10,13.10,0.10,11.92,0.10,11.75,0.10,0.00,0.00, 9.39,0.10, 9.66,0.10, 9.64,0.10, 9.22,0.10
