#================================================================================
#Title: The near-to-mid infrared spectrum of quasars
#Authors: Hernan-Caballero A., Hatziminaoglou E., Alonso-Herrero A., Mateos S.
#================================================================================
#Description of contents: Composite 0.1-11um quasar spectrum from a sample of 85
# luminous quasars with Spitzer/IRS observations. Columns include spectra for the 
# total AGN emission, the accretion disk (+ emission lines) and the dust.
#================================================================================
#Byte-by-byte Description of file: table3.dat
#--------------------------------------------------------------------------------
#   Bytes Format Units Label     Explanations
#--------------------------------------------------------------------------------
#   1-  7 F7.4   um    Wave      Wavelength
#   9- 16 F8.5  ---   Fnu_tot    Total flux per unit frequency (arbitrary units)
#  18- 25 F8.5  ---   Fnu_disk   Flux per unit freq. (arb. units) disk component
#  27- 34 F8.5  ---   Fnu_dust   Flux per unit freq. (arb. units) dust component 
#================================================================================
 0.1000  0.03356  0.03352  0.00004
 0.1011  0.03746  0.03742  0.00004
 0.1023  0.04670  0.04665  0.00005
 0.1034  0.04504  0.04499  0.00005
 0.1046  0.04264  0.04259  0.00005
 0.1058  0.04214  0.04209  0.00005
 0.1070  0.04185  0.04180  0.00005
 0.1082  0.03957  0.03951  0.00006
 0.1094  0.03701  0.03695  0.00006
 0.1107  0.03719  0.03713  0.00006
 0.1119  0.03819  0.03813  0.00006
 0.1132  0.03888  0.03882  0.00006
 0.1145  0.03956  0.03949  0.00007
 0.1157  0.04254  0.04247  0.00007
 0.1171  0.04711  0.04704  0.00007
 0.1184  0.06135  0.06128  0.00007
 0.1197  0.08010  0.08002  0.00008
 0.1211  0.09726  0.09718  0.00008
 0.1224  0.11340  0.11332  0.00008
 0.1238  0.10680  0.10672  0.00008
 0.1252  0.08438  0.08429  0.00009
 0.1266  0.07022  0.07013  0.00009
 0.1281  0.06410  0.06401  0.00009
 0.1295  0.06132  0.06122  0.00010
 0.1310  0.06234  0.06224  0.00010
 0.1325  0.06240  0.06229  0.00011
 0.1340  0.06126  0.06115  0.00011
 0.1355  0.06236  0.06225  0.00011
 0.1370  0.06712  0.06700  0.00012
 0.1386  0.07014  0.07002  0.00012
 0.1401  0.07023  0.07010  0.00013
 0.1417  0.06970  0.06957  0.00013
 0.1433  0.06807  0.06793  0.00014
 0.1450  0.06762  0.06748  0.00014
